Mon Jun 10 18:32:24 PDT 2019
{
    "FunctionName": "IO",
    "FunctionArn": "arn:aws:lambda:us-west-2:409678341140:function:IO",
    "Runtime": "java8",
    "Role": "arn:aws:iam::409678341140:role/service-role/simple_microservice_role",
    "Handler": "lambda.IO::handleRequest",
    "CodeSize": 22897,
    "Description": "",
    "Timeout": 300,
    "MemorySize": 1280,
    "LastModified": "2019-06-07T05:59:58.345+0000",
    "CodeSha256": "t+Ll3Z3Noe8OwSpxQ757YkDpUy/J9y/ruFu+lIUpWa4=",
    "Version": "$LATEST",
    "VpcConfig": {
        "SubnetIds": [
            "subnet-48471c03"
        ],
        "SecurityGroupIds": [
            "sg-3f550674"
        ],
        "VpcId": "vpc-1eed4166"
    },
    "TracingConfig": {
        "Mode": "PassThrough"
    },
    "RevisionId": "90752e16-ed49-4086-b139-45c2dc95fc8c"
}
Setting up test: runsperthread=1 threads=100 totalruns=100
run_id,thread_id,uuid,cputype,cpusteal,vmuptime,pid,cpuusr,cpukrn,elapsed_time,server_runtime,latency,sleep_time_ms,new_container
1,26,"f51c4e91-dcce-4359-a351-1fc1ea0e47d5","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",null,1560213060,null,null,null,34391,1629,32762,-33.39100000000000000000,1
1,27,"92bc7f41-8944-4325-bba8-32514475f758","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560212111,null,null,null,23196,1792,21404,-22.19600000000000000000,0
1,28,"94a47292-f4c8-4d1d-b674-ed4f6c6ceac3","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",null,1560211772,null,null,null,23077,1143,21934,-22.07700000000000000000,0
1,29,"be51b62d-2a51-4721-bbe3-9c1a10f1958c","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560212156,null,null,null,23368,1925,21443,-22.36800000000000000000,0
1,30,"7886ad87-c407-49a4-bd49-a3bd45d5402e","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",null,1560211808,null,null,null,22620,1256,21364,-21.62000000000000000000,0
1,31,"cd5d941e-1249-4c4f-b4da-6df8718f06b7","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213132,null,null,null,34691,2955,31736,-33.69100000000000000000,1
1,32,"ce8d8335-8819-48bc-8623-48b6678e6041","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",null,1560211772,null,null,null,23269,1104,22165,-22.26900000000000000000,0
1,33,"f4260698-351c-44ff-b0de-43ae1eb96344","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",null,1560213060,null,null,null,34231,1703,32528,-33.23100000000000000000,1
1,34,"f1dd3b6c-757a-409c-86e2-4aac2ddbbd43","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213352,null,null,null,34214,2906,31308,-33.21400000000000000000,1
1,35,"1e6e8169-5f16-4667-a01c-0ddaae720d02","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213132,null,null,null,34599,2937,31662,-33.59900000000000000000,1
1,36,"48bec79c-56cc-4885-a133-10ef2fdd4885","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560212156,null,null,null,23001,1721,21280,-22.00100000000000000000,0
1,37,"4bef5f93-6cba-493c-a077-6432a566db1b","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213104,null,null,null,35642,2948,32694,-34.64200000000000000000,1
1,38,"d22f6b8f-1627-44ab-ae17-2454099b22c9","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",null,1560211808,null,null,null,22748,907,21841,-21.74800000000000000000,0
1,39,"0bcf821e-5a0b-4bab-bb53-5b60e2142bbd","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213104,null,null,null,35726,3039,32687,-34.72600000000000000000,1
